country_code,country_name,cereal_yield_kg_per_ha,fertiliser_kg_per_ha,arable_land_pct,population_total,gdp_per_capita_usd,internet_users_pct,stunting_pct_children,irrigated_land_pct,account_ownership_pct,bank_branches_per_100k,atm_per_100k,cereal_loss_pct,fertiliser_efficiency
QAT,Qatar,8431.1,240.238095238095,1.82767624020888,2504910,65488.5460040395,99.65280151,5.4,17.5675675675676,,9.36260117792122,58.560420575111,,35.09
ROU,Romania,5187.8,98.3148579413135,37.3261474269819,19122059,11546.3224998072,83.5904265,,2.63781634681551,69.1155037619615,21.7905654511612,63.0986022152516,,52.77
RUS,Russian Federation,2705.4,27.5029634440069,7.42809828740168,144746762,10231.318359375,88.21384578,,,89.7193266222482,22.7610485209332,154.66312153624,,98.37
RWA,Rwanda,1519.0,23.9009776095869,51.4146736927442,13355260,896.271033574985,24.4416008,,,,3.30631876413694,4.09643170409614,3.03,63.55
SAU,Saudi Arabia,4727.5,117.363282656307,1.59577287888021,30784383,24922.6716948944,100.0,,0.409296574597168,74.320746724648,7.42697150484686,62.3398359087704,9.31,40.28
SDN,Sudan,515.0,7.10302452964992,11.2392933618844,48066924,1009.54888916016,,,,,,,2.95,72.5
SEN,Senegal,1854.7,8.83916449086162,19.893003687737,17220867,1414.5395109385,55.04040146,,,55.9644071481718,5.65678188120555,6.89801819326863,2.38,209.83
SLB,Solomon Islands,1896.1,11.0869565217391,0.821722043586995,762591,1880.5519827183,26.03790092,,,,3.95900335583755,13.7400704702597,,171.02
SLE,Sierra Leone,1967.5,2.66603535353535,21.9451371571072,8094602,1045.7661615758,18.65390015,26.3,,28.8466044614564,,,2.57,737.99
SLV,El Salvador,2950.3,92.1941747572816,34.7972972972973,6255782,4247.54750394978,57.26380157,10.0,2.01028686125282,35.8453551303162,9.27991883164329,37.1836747667913,,32.0
SOM,"Somalia, Fed. Rep.",314.0,1.34159090909091,1.75343513884018,17271431,461.627830725978,23.87479973,,,,,,2.54,234.05
SRB,Serbia,5770.0,74.9854684512428,31.0976334879296,6834326,7465.67601077148,81.16588116,,1.49210903873745,89.4157368417161,26.164142188203,52.857370095802,0.5,76.95
